sha256,description,application_purpose
FA26D4457A695CA8EECE2BDFDF616764B523524F56094976658982C3CC5B8F76,The application appears to be called when the menu be built.,"The application primarily serves advertising functionalities, utilizing various SDKs to manage multimedia playback, location services, and web content, especially in ad displays"
3E169ED78124322B2A5C666DDFD39ED2A95D43B5C57BB84E3ABE394FF2489307,The application appears to smoothly scroll the screen by the given point.,"The application appears to facilitate payment processing, user authentication, and location-based services, likely integrating with various SDKs such as Alipay and Tencent"
A5691DBB9E71FA5482111A1C8508836385D5022786DBE85DE4BCEE447429EB41,The application appears to set the value of the fee field.,"The application appears to be a communication and notification service, likely integrating features for push notifications, web content rendering, and user engagement through various APIs"
45147A1482968D8DC14471FFF057235DD09842E7DA9BE61D0958EEB2C728DEA1,The application appears to set the value of the component.,"The application appears to manage push notifications, user data, and network connectivity while integrating with third-party services for analytics and messaging"
C47FAC9CA0654679F5680E878DF2189B907143F31B69275C9AEE6F4FCC554C69,The application appears to create an instance of br.,"The application appears to be designed for web content rendering, network management, and user notifications, potentially integrating advertising functionalities"
8FA35F05C5A2E1149301C2F6AAAE5528E84B7ECF3DA94593A5ABEE7B3C3C6299,The application appears to initialize the network request object.,"The application appears to be a web-based platform, likely for e-commerce or online services, utilizing WebView components to display web content and manage user interactions"
79058796590225377C0C478F6C1F46DEC8902ADD50A7E97461D0F41FBD0F1763,The application appears to be used to implement the honeycomb interface.,"The application appears to facilitate web interactions, media playback, and network management, potentially targeting user authentication and data access"
76BC31138E0C919A90EE8BA61670CF921FBC14CF78A1C94C515D235FB9CACCEC,The application appears to return the next value in the range.,"The application appears to be a web browser (Tencent Browser) that facilitates internet browsing, downloads, and user notifications"
4B5802CFEB8CEBCA6721B1A66F7C903E6CDF2EBF5B6B9E38BE3C67249D730265,The application appears to set the drawable for the order.,"The application appears to facilitate mobile payments and financial transactions, leveraging various sensitive APIs for NFC, telephony, and network management"
58532F8ACA8D454932DDB4BA97F24D32B25792DC4298E487C5BD530B80B1A499,The application appears to reset the values of the biz table.,"The application appears to be a crash reporting tool utilizing the Bugly SDK, designed to collect and report application errors and performance metrics"
4AF11929518BDDBC783BFDD26A3891FCD7B8193E7307FE2B436880DE01FE79BD,The application appears to create a new instance of ru.,"The application appears to manage device settings and user interactions, particularly focusing on audio, Bluetooth, Wi-Fi, and web content display"
5CDC7C204A862A08ECA889ED2A0D729FA18DA3B164A82FCD36FF1118369A0340,The application appears to set the date type adapters.,"The application appears to facilitate payment processing, user authentication, and location-based services, leveraging various sensitive APIs to manage network connectivity, telephony, and web interactions"
333196B187127C35DEFF4CB240EF614CD9261889A98644363530F82AC7040EDC,The application appears to get the value of the rating.,"The application appears to be a web browser (Sogou mobile browser) that facilitates web content loading, navigation, and user interactions while managing sensitive permissions related to network access and user data"
F59C87979795676CBF10AA5C3C3C491F70C7ED0D284B65FF7549BB5983417BA7,The application appears to get the value of the rating in the range 0-100.,"The application appears to facilitate financial transactions, user authentication, and location-based services, likely integrating web content for payment processing and user interactions"
6D27AD04B560AA5A5CA8302EA15BE7D60B4518ADCE9C0B723946D5B7FE5EC0E9,The application appears to add the first element of the list to the front of the stack.,"The application appears to integrate various functionalities, including web content rendering, location tracking, and network management, likely aimed at providing user services such as navigation, social media interaction, and data synchronization"
13135C6F4936FBFD13984F859A60D303D653ABB480D52FF3290C545C2373080D,The application appears to set the value of the d property.,"The application appears to facilitate payment processing, user authentication, and location-based services, leveraging various sensitive APIs to manage web content, network connectivity, and telephony features"
4EEB104BF2ABA59F12221D40F6623CB49CEC085BEC9319A4629F7AB507F377BB,The application appears to set the qr code.,"The application appears to be designed for analytics and user tracking, utilizing various sensitive APIs to collect device identifiers, location data, and network information"
0ED25E9D82F3B09EBD52EEF8B78C2915824E4F4D4DBD1EB5A3B7196032A608DB,The application appears to set the backstack state to 0.,"The application appears to facilitate mobile payments and user authentication, leveraging various sensitive APIs for location tracking, network management, and user data handling"
7266DF94FB8F92C08E129E334978F3D0ECCA3DB2E54BFBAB6438D422E74918D5,The application appears to 分数据,"The application appears to facilitate financial transactions and web interactions, likely serving as a payment processing platform (e"
5D95427CE631D3E138DB78C9AA7D281F24C1C273428CA8C249C2029AC3EAEB19,The application appears to set the virtual view id of the hovered view.,"The application appears to facilitate web-based transactions, including payment processing and user authentication, while managing sensitive user data through various APIs"
36687F70F9C314C0816FDC2C8B6BCF0B4FD4F76AF85CD509E719EF25815C384A,The application appears to seek to a specific point.,"The application appears to facilitate web-based transactions, including payments and user authentication, while leveraging various sensitive APIs for location, network, and telephony functionalities"
1083FED1941985C9C23B6C44636D794DECECD51E0B28F4DB01A3E4E91A4417C3,The application appears to set the viewpager for this view.,"The application appears to facilitate online payments and user authentication, leveraging various sensitive APIs to manage user data and network interactions"
